gamekey,record,adjoe,adjde,barthag,sos,ncsos,consos,elite SOS,elite noncon SOS,Opp OE,Opp DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,WAB,didwin
Ohio St.-North Carolina A&T,0.5051258154706431,27.718576656912617,-21.741880102746038,0.812002341892824,0.3507079816043261,-0.11695418445742634,0.6608118311906857,-0.19522516153603087,0.12995872414747067,10.1546803902296,-6.114065228941698,28.84303142861954,-19.30173636912089,39.250721131787614,-19.286070383774046,0.8878258367798132,16,-0.016337317604515234,166.0,5.0,3.1000000000001364,0.14390334216723955,0.0016311997458564598,0,23.857566812380483,True
Ohio St.-Florida,0.1351351351351352,9.745083621436038,-3.661044502152265,0.06363415090696611,0.019411893655540302,-0.08093872202613006,0.10426129271519013,-0.03181852949800823,0.06692512250347016,2.0049543214499153,0.6477556597429412,11.235613510131884,-2.680882871238225,4.315228192096967,-7.7161407223292855,0.04821118850308448,4,-0.014297999094371572,180.0,115.0,91.06249999999977,0.0692659797316848,0.021321477366583297,0,6.704899064744362,True
Ohio St.-UNC Wilmington,0.49956408020924153,24.8397543316689,-14.695832212891801,0.6084680526669323,0.22436403132025373,0.07131416655572748,0.30242526399698477,-0.15673264358037897,0.026504564181820123,5.646822788714118,-4.845241650837636,27.29879395028621,-11.823799985256954,39.45444785394875,-10.81126372682769,0.7851101188104153,13,0.04999688335230956,183.0,-80.0,-5.449999999999818,0.16669676646722076,-0.06549973294065081,0,22.91305645902086,True
Ohio St.-Morehead St.,0.23141891891891897,21.31806992848638,-8.339084105968183,0.33639390536258407,0.2687424848818408,-0.07639890797537707,0.5205676634276466,-0.17317262775863163,0.10248518270075246,7.0971778769622205,-5.320746086043215,25.38107922700857,-5.4710669555047815,37.75880423897161,6.428495226627319,0.27893625384260856,14,0.000979277871171469,78.0,26.0,-63.50000000000023,0.12831186897009417,0.07594826905039365,0,15.52242938265191,True
Ohio St.-Miami OH,0.45016891891891897,20.815096170524953,-15.399534895154929,0.5174376298829507,0.13507829508991342,-0.23300704425240004,0.3999173342762269,-0.10108475818419171,0.22086579537531825,4.250670710385393,-1.809995241197683,20.029195699819226,-14.205018359781036,17.22714890048536,-24.859462450946424,0.5771111130044162,12,-0.023038595099556747,200.0,28.0,62.58750000000032,0.11773132077385862,-0.03350281397653809,0,18.92938300740489,True
Ohio St.-Florida St.,0.2424483306836248,22.386177962403963,3.698239455247247,0.10074909492535156,0.05101045471320387,-0.009517782380171924,0.0870075117209349,-0.036856588294150505,0.022910058364899233,2.014311738279787,-0.347045638291533,22.28096236959469,4.153012843269352,14.027862178799552,-9.76940854843241,0.16544811326512643,5,0.034762396353111846,249.0,109.0,30.887499999999818,0.19303420926776116,0.07045360172263626,0,10.774760525290786,True
Ohio St.-IUPUI,0.37053182214472546,14.930542014055675,-16.956611828275143,0.40211882681730415,0.18450342556628785,-0.24402878155484098,0.432759284508765,-0.1251916694670403,0.22375068191094538,4.317744350408901,-4.7889405509840515,14.76154366432668,-18.609352830945994,9.519124288873641,-26.634360190341667,0.43460535516116894,12,0.009493636979911124,-20.0,-140.0,-24.09999999999991,0.00742024434694355,-0.09992417405402265,0,17.654564976115818,True
Ohio St.-Western Carolina,0.38766891891891897,26.80504555480232,-7.742112124381052,0.47145373884260244,0.26290596929259497,-0.08285565897429048,0.4804348948779136,-0.1759019405971325,0.09779670520536465,5.934063809412365,-5.997247655132867,30.86344414509682,-3.5137115120384124,30.356840419204246,-12.363738077294954,0.6051975124833561,15,0.05845942030851958,73.0,-61.0,-125.8125,0.17674727964046344,0.0535012228257179,0,20.399553900442307,True
Ohio St.-Florida Gulf Coast,0.5855855855855856,31.780841803135274,-13.351598470857624,0.7484533330952616,0.2841743952588437,-0.001695193601379097,0.4496965347448107,-0.18708419543312604,0.056211098546818494,7.914527694166608,-5.391392534970748,35.07009345764524,-9.02976510338209,42.48783135956934,-8.236551112745246,0.7998303186868035,16,0.07099075302602442,54.0,-237.0,-245.93750000000045,0.25095187912616235,0.009946257213933718,0,26.219002346112333,True
Ohio St.-South Carolina,0.4522522522522523,25.24472510977847,-6.156478442213938,0.3804049541168961,0.06703489354292569,0.01025993744046666,0.0686501470317652,-0.03806521289891851,0.04024096348464923,1.9969560637900372,-1.3549404194536123,25.59541199973245,-5.238056568415715,26.457085061298187,-8.823475190824041,0.4034371551224042,7,0.0020981033864978516,316.0,26.0,57.6875,0.2306710725124438,-0.03055991546190362,0,16.887596131796155,True
