Year,Round,Region Number,Region Name,Seed,Team,Team1,Seed1
2024,1,1,South,1,Houston,Longwood,16
2024,1,1,South,8,Nebraska,Texas A&M,9
2024,1,1,South,5,Wisconsin,James Madison,12
2024,1,1,South,4,Duke,Vermont,13
2024,1,1,South,6,Texas Tech,NC State,11
2024,1,1,South,3,Kentucky,Oakland,14
2024,1,1,South,7,Florida,Colorado,10
2024,1,1,South,2,Marquette,Western Kentucky,15
2024,1,2,Midwest,1,Purdue,Montana St.,16
2024,1,2,Midwest,8,Utah St.,TCU,9
2024,1,2,Midwest,5,Gonzaga,McNeese,12
2024,1,2,Midwest,4,Kansas,Samford,13
2024,1,2,Midwest,6,South Carolina,Oregon,11
2024,1,2,Midwest,3,Creighton,Akron,14
2024,1,2,Midwest,7,Texas,Colorado St.,10
2024,1,2,Midwest,2,Tennessee,Saint Peter's,15
2024,1,3,East,1,UConn,Stetson,16
2024,1,3,East,2,Iowa St.,South Dakota St.,15
2024,1,3,East,3,Illinois,Morehead St.,14
2024,1,3,East,4,Auburn,Yale,13
2024,1,3,East,5,San Diego St.,UAB,12
2024,1,3,East,6,BYU,Duquesne,11
2024,1,3,East,7,Washington St.,Drake,10
2024,1,3,East,8,FAU,Northwestern,9
2024,1,4,West,1,North Carolina,Wagner,16
2024,1,4,West,8,Mississippi St.,Michigan St.,9
2024,1,4,West,5,Saint Mary’s,Grand Canyon,12
2024,1,4,West,4,Alabama,Charleston,13
2024,1,4,West,6,Clemson,New Mexico,11
2024,1,4,West,3,Baylor,Colgate,14
2024,1,4,West,7,Dayton,Nevada,10
2024,1,4,West,2,Arizona,Long Beach St.,15
2024,2,1,South,,,,
2024,2,1,South,,,,
2024,2,1,South,,,,
2024,2,1,South,,,,
2024,3,1,South,,,,
2024,3,1,South,,,,
2024,4,1,South,,,,
2024,2,2,Midwest,,,,
2024,2,2,Midwest,,,,
2024,2,2,Midwest,,,,
2024,2,2,Midwest,,,,
2024,3,2,Midwest,,,,
2024,3,2,Midwest,,,,
2024,4,2,Midwest,,,,
2024,2,3,East,,,,
2024,2,3,East,,,,
2024,2,3,East,,,,
2024,2,3,East,,,,
2024,3,3,East,,,,
2024,3,3,East,,,,
2024,4,3,East,,,,
2024,2,4,West,,,,
2024,2,4,West,,,,
2024,2,4,West,,,,
2024,2,4,West,,,,
2024,3,4,West,,,,
2024,3,4,West,,,,
2024,4,4,West,,,,
2024,5,1,Final Four,,,,
2024,5,2,Final Four,,,,
2024,6,1,Championship,,,,
